iter	RMSE
261	0.2833025197
262	0.2832937126
263	0.2832805421
264	0.2832697224
265	0.2832609703
266	0.2832526921
267	0.2832447616
268	0.2832337476
269	0.2832232268
270	0.2832150956
271	0.2832068207
272	0.2831967404
273	0.2831826655
274	0.2831729243
275	0.2831616096
276	0.2831502085
277	0.2831390865
278	0.2831302816
279	0.2831209446
280	0.2831109299
281	0.283098268
282	0.2830852541
283	0.2830762183
284	0.283062415
285	0.2830517788
286	0.2830413962
287	0.2830303117
288	0.2830165377
289	0.2830069067
290	0.2829966268
291	0.2829873012
292	0.2829820115
293	0.2829725502
294	0.28296071
295	0.2829523466
296	0.2829429391
297	0.2829341853
298	0.2829287563
299	0.2829151238
300	0.2829072491
301	0.2828972402
302	0.2828863362
303	0.2828781033
304	0.2828711633
305	0.2828623569
306	0.2828513035
307	0.2828416907
308	0.2828302173
309	0.2828184383
310	0.2828089866
311	0.2827984452
312	0.2827889551
313	0.2827757934
314	0.2827653124
315	0.2827518495
316	0.2827431417
317	0.2827310431
318	0.2827213505
319	0.2827161625
320	0.2827051213
321	0.2826982225
322	0.2826877259
323	0.2826760358
324	0.2826647702
325	0.2826550941
326	0.2826447352
327	0.2826353869
328	0.2826261504
329	0.2826145226
330	0.282605301
331	0.282599865
332	0.2825876865
333	0.2825762151
334	0.2825658266
335	0.2825546323
336	0.2825470772
337	0.2825337857
338	0.282524656
339	0.2825116646
340	0.2825032688
341	0.2824960179
342	0.282485951
343	0.2824756672
344	0.2824661594
345	0.2824538504
346	0.2824456854
347	0.2824333032
348	0.2824225813
349	0.2824107949
350	0.2823988975
351	0.282387543
352	0.2823765752
353	0.2823679083
354	0.2823594734
355	0.2823511368
356	0.2823406899
357	0.2823228772
358	0.282312826
359	0.2822995982
360	0.282292639
361	0.2822830598
362	0.2822775156
363	0.2822685242
364	0.2822620642
365	0.2822537983
366	0.282238889
367	0.2822254801
368	0.2822169476
369	0.2822044135
370	0.2821959239
371	0.2821830631
372	0.2821730684
373	0.282163778
374	0.2821583242
375	0.2821478577
376	0.2821356445
377	0.2821248205
378	0.2821121911
379	0.2821011002
380	0.2820910645
381	0.2820801638
382	0.2820695347
383	0.2820591876
384	0.2820502611
385	0.2820441859
386	0.2820335045
387	0.2820282044
388	0.2820175317
389	0.2820102398
390	0.2820006528
391	0.2819949193
392	0.2819801284
393	0.2819702401
394	0.2819629637
395	0.2819526249
396	0.2819432121
397	0.2819306012
398	0.2819227132
399	0.2819097902
